zz,xx,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,ID,9111,9112,9121,9122,9131,9132,9140,FD,TD,9310,9321,9322,9329,9331,9332,TS
C09,"컴퓨터, 전자 및 광학기기",95855 ,6188 ,118850 ,81379 ,91921 ,313368 ,473728 ,79985 ,321233 ,528540 ,98477004 ,6429276 ,4155025 ,7595851 ,109927 ,1671631 ,610238 ,174477 ,1465693 ,1404542 ,677738 ,428974 ,4827808 ,777885 ,385542 ,6708270 ,444386 ,626219 ,1273789 ,2551343 ,293326 ,2036879 ,93020 ,145329890 ,24920430 ,0 ,21598161 ,2893647 ,1739168 ,0 ,174193328 ,225344734 ,370674624 ,282213561 ,86577784 ,1883279 ,88461063 ,0 ,0 ,370674624 
C10,전기장비,104309 ,18063 ,31850 ,76944 ,58734 ,149086 ,267149 ,140824 ,287892 ,671797 ,7493526 ,18084537 ,4897840 ,12627281 ,178399 ,1117634 ,1423996 ,183472 ,10230979 ,658003 ,1096656 ,754927 ,1410685 ,274387 ,337939 ,1916276 ,511665 ,335829 ,393107 ,223750 ,277665 ,1390743 ,42077 ,67668021 ,5268815 ,0 ,10891972 ,204225 ,530745 ,0 ,29580893 ,46476650 ,114144671 ,95673140 ,17739430 ,732101 ,18471531 ,0 ,0 ,114144671 
C11,기계 및 장비,217204 ,105196 ,178962 ,89069 ,71295 ,931315 ,3033127 ,365742 ,1058395 ,2995409 ,2002630 ,1867989 ,26137366 ,10349643 ,83156 ,1921070 ,379635 ,526504 ,5606611 ,218095 ,299732 ,80926 ,68837 ,59343 ,124012 ,918818 ,134313 ,202619 ,229751 ,97706 ,57210 ,204176 ,23074 ,60638930 ,1412543 ,0 ,53072767 ,417673 ,370127 ,0 ,47905261 ,103178371 ,163817301 ,125009907 ,37448920 ,1358474 ,38807394 ,0 ,0 ,163817301 
C12,운송장비,262383 ,63499 ,23227 ,23211 ,43760 ,89713 ,230514 ,156671 ,117853 ,199638 ,26771 ,88629 ,883687 ,70233908 ,14828 ,918915 ,23384 ,140411 ,84515 ,375895 ,7559500 ,36191 ,97144 ,41370 ,20001 ,612404 ,236084 ,933562 ,100802 ,139126 ,89596 ,4983931 ,19287 ,88870410 ,31248146 ,0 ,27966392 ,7094305 ,3005576 ,0 ,129660499 ,198974918 ,287845328 ,257977501 ,27908542 ,1959285 ,29867827 ,0 ,0 ,287845328 
C13,기타 제조업 제품,9099 ,1467 ,221821 ,368397 ,24296 ,7093 ,31626 ,6889 ,16476 ,33944 ,49458 ,18471 ,32764 ,76068 ,1092207 ,289550 ,6725 ,42348 ,1806323 ,528570 ,177658 ,887657 ,326523 ,383944 ,549769 ,1026412 ,365943 ,360786 ,2250808 ,342518 ,690827 ,359315 ,58237 ,12443989 ,7149866 ,0 ,2824170 ,272525 ,314158 ,1348932 ,2867995 ,14777646 ,27221635 ,20146498 ,6486468 ,588669 ,7075137 ,0 ,0 ,27221635 
C14,제조임가공 및 산업용 장비 수리,181985 ,104828 ,2966064 ,15997684 ,1426160 ,244478 ,5096553 ,825112 ,2438496 ,3921733 ,8305020 ,3019486 ,5030135 ,8473728 ,1091413 ,4607074 ,226933 ,224130 ,536540 ,298263 ,119479 ,29411 ,222617 ,96554 ,32269 ,274796 ,342712 ,160062 ,263912 ,1555882 ,69985 ,30240 ,33106 ,68246840 ,26526 ,0 ,0 ,0 ,0 ,0 ,2788269 ,2814795 ,71061635 ,61203821 ,9857814 ,0 ,9857814 ,0 ,0 ,71061635 
D,"전력, 가스 및 증기",740689 ,97151 ,1183342 ,1090774 ,1435557 ,1870022 ,6103157 ,1663227 ,6856392 ,1900289 ,3913478 ,887554 ,1248713 ,1852403 ,229048 ,899593 ,12460626 ,990554 ,815361 ,3672520 ,1914855 ,2107012 ,1334513 ,1107441 ,1643083 ,6772938 ,411751 ,1231338 ,3760070 ,2805773 ,1118500 ,815311 ,98311 ,75031346 ,17757229 ,0 ,0 ,0 ,0 ,0 ,116665 ,17873894 ,92905240 ,92800040 ,105200 ,0 ,105200 ,0 ,0 ,92905240 
E,"수도, 폐기물처리 및 재활용서비스",75128 ,11948 ,370038 ,228859 ,470413 ,77627 ,1660784 ,327501 ,2766361 ,406833 ,128648 ,100639 ,528210 ,172951 ,26617 ,98531 ,101759 ,587822 ,120632 ,96647 ,281896 ,1306152 ,196087 ,251059 ,650704 ,521445 ,199925 ,369025 ,556893 ,1047924 ,190563 ,322928 ,24006 ,14276555 ,3417553 ,1165711 ,0 ,0 ,0 ,0 ,383045 ,4966309 ,19242864 ,19221573 ,21291 ,0 ,21291 ,0 ,0 ,19242864 
F,건설,74434 ,13963 ,63756 ,26110 ,26263 ,50048 ,178493 ,31801 ,144408 ,95193 ,114762 ,115480 ,84550 ,107917 ,12225 ,32964 ,331618 ,35057 ,64588 ,257363 ,175756 ,199922 ,263307 ,80111 ,7246477 ,470330 ,94201 ,614593 ,170106 ,74969 ,91427 ,66768 ,32326 ,11441286 ,0 ,0 ,165908820 ,47583363 ,-1422185 ,0 ,165061 ,212235059 ,223676345 ,223616951 ,59394 ,0 ,59394 ,0 ,0 ,223676345 
G,도소매 및 상품중개서비스,2421416 ,55922 ,8891008 ,6400548 ,2039528 ,1173956 ,8601872 ,1224362 ,2765483 ,3095527 ,9154761 ,3822026 ,4655599 ,12139734 ,1603593 ,1914156 ,623804 ,342262 ,7388364 ,10180495 ,2447621 ,11838745 ,8219870 ,846225 ,444559 ,3689133 ,1113712 ,1398725 ,2069367 ,9090426 ,1540791 ,3272420 ,158980 ,134624990 ,78971850 ,0 ,11056000 ,707083 ,1227459 ,318400 ,24133371 ,116414163 ,251039153 ,247647642 ,3391511 ,0 ,3391511 ,0 ,0 ,251039153 
H,운송서비스,810903 ,533880 ,4240938 ,2145200 ,1893910 ,948292 ,7528087 ,4211005 ,3709621 ,2284019 ,4411729 ,2006334 ,3019360 ,4055225 ,592397 ,1011251 ,258120 ,1133019 ,1886276 ,16474098 ,24325489 ,799663 ,2181087 ,752304 ,452216 ,3387440 ,1378010 ,2181959 ,431239 ,474902 ,377576 ,660292 ,4029 ,100559870 ,25868578 ,0 ,240833 ,63687 ,81459 ,7879 ,37954966 ,64217402 ,164777272 ,141344511 ,23432761 ,0 ,23432761 ,0 ,0 ,164777272 
I,음식점 및 숙박서비스,452768 ,77696 ,431929 ,526978 ,441815 ,315528 ,1452070 ,339731 ,802869 ,892323 ,1052226 ,467687 ,918212 ,899861 ,171822 ,1438824 ,240769 ,313034 ,783447 ,9091350 ,1708049 ,954913 ,2152345 ,3578215 ,1037541 ,6442486 ,2227862 ,1975525 ,6531569 ,3278968 ,1409812 ,2969401 ,230222 ,55607847 ,82834474 ,0 ,0 ,0 ,0 ,0 ,7042220 ,89876694 ,145484541 ,131926155 ,13558386 ,0 ,13558386 ,0 ,0 ,145484541 
J,정보통신 및 방송 서비스,183675 ,19714 ,231448 ,193197 ,236915 ,407126 ,666901 ,211492 ,453640 ,467397 ,1268868 ,357552 ,413669 ,516854 ,90777 ,464656 ,130834 ,327365 ,446382 ,10162635 ,1681953 ,928424 ,18435291 ,8684078 ,729923 ,16361564 ,1786264 ,2524634 ,3385589 ,532064 ,1555643 ,982246 ,94452 ,74933222 ,32539350 ,0 ,28083841 ,242767 ,19850 ,0 ,5527599 ,66413407 ,141346629 ,135412832 ,5933122 ,675 ,5933797 ,0 ,0 ,141346629 
K,금융 및 보험 서비스,878012 ,164761 ,815843 ,930076 ,643369 ,217007 ,2361952 ,489830 ,1519909 ,1369650 ,3311833 ,946359 ,2043674 ,2790673 ,232451 ,614110 ,1108709 ,489779 ,4099411 ,6869826 ,2069579 ,1869992 ,1830704 ,24555039 ,15875393 ,3798625 ,298839 ,3667897 ,1581982 ,2423659 ,487161 ,1311054 ,0 ,91667158 ,65535602 ,0 ,0 ,0 ,0 ,0 ,2859010 ,68394612 ,160061770 ,156925173 ,3136597 ,0 ,3136597 ,0 ,0 ,160061770 
L,부동산서비스,48920 ,6621 ,239199 ,392084 ,161549 ,158639 ,389461 ,75846 ,368019 ,261611 ,251788 ,260815 ,147563 ,385910 ,123121 ,474856 ,145353 ,339448 ,592447 ,13424634 ,1146267 ,6179475 ,1552781 ,5942845 ,5247645 ,5051854 ,1098217 ,925026 ,2038995 ,2601366 ,634235 ,1339869 ,42034 ,52048493 ,114778653 ,0 ,26009160 ,16275 ,0 ,0 ,429765 ,141233853 ,193282346 ,191497517 ,1784829 ,0 ,1784829 ,0 ,0 ,193282346 
M,"전문, 과학 및 기술 서비스",748866 ,174333 ,3478410 ,1349717 ,887255 ,2783963 ,10509029 ,1252735 ,4503145 ,2357711 ,7726380 ,3188286 ,2813188 ,7744675 ,687619 ,1539319 ,1471417 ,786275 ,17650942 ,12525272 ,2455492 ,1868307 ,8659173 ,4867609 ,1024597 ,9932215 ,2564574 ,1829386 ,2488591 ,794354 ,1008536 ,659361 ,56437 ,122387169 ,3141218 ,0 ,59111665 ,9942361 ,0 ,0 ,15901469 ,88096713 ,210483882 ,186524180 ,23959702 ,0 ,23959702 ,0 ,0 ,210483882 
N,사업지원서비스,133832 ,128630 ,404320 ,372632 ,371615 ,542718 ,1119127 ,233508 ,1360637 ,773336 ,1740125 ,511552 ,441893 ,4137565 ,116170 ,1872071 ,825737 ,518268 ,6329772 ,7644965 ,7453527 ,1000448 ,4492584 ,7393033 ,7317669 ,6879365 ,4841456 ,3132213 ,2024303 ,1073159 ,1837910 ,414914 ,72417 ,77511471 ,3901269 ,0 ,0 ,0 ,0 ,0 ,8784508 ,12685777 ,90197248 ,76481272 ,13715976 ,0 ,13715976 ,0 ,0 ,90197248 
O,"공공행정, 국방 및 사회보장",96380 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,530276 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2131376 ,2758032 ,1354851 ,119834041 ,0 ,0 ,0 ,0 ,37565 ,121226457 ,123984489 ,123378849 ,605640 ,0 ,605640 ,0 ,0 ,123984489 
P,교육서비스,2868 ,725 ,24467 ,7822 ,15537 ,25666 ,93493 ,17247 ,65221 ,72610 ,47686 ,48057 ,59458 ,43330 ,2765 ,124889 ,17688 ,9978 ,44353 ,538306 ,45782 ,49082 ,82895 ,261796 ,63675 ,226604 ,38737 ,5013 ,50411 ,11026 ,14963 ,57276 ,12287 ,2181713 ,56017477 ,60287050 ,0 ,0 ,0 ,0 ,171152 ,116475679 ,118657392 ,116328647 ,2328745 ,0 ,2328745 ,0 ,0 ,118657392 
Q,보건 및 사회복지 서비스,119955 ,11593 ,101315 ,69187 ,70271 ,43259 ,239294 ,52537 ,134201 ,189445 ,162182 ,111007 ,201484 ,273722 ,32336 ,156009 ,55359 ,85230 ,367847 ,1093052 ,190493 ,401431 ,257400 ,523829 ,134367 ,593224 ,201035 ,73608 ,296729 ,622816 ,146431 ,123439 ,14463 ,7148550 ,45999660 ,66877855 ,0 ,0 ,0 ,0 ,370313 ,113247828 ,120396378 ,119620062 ,776316 ,0 ,776316 ,0 ,0 ,120396378 
R,"예술, 스포츠 및 여가 관련 서비스",56075 ,19251 ,62052 ,67406 ,61663 ,54503 ,196263 ,41423 ,163752 ,148100 ,82774 ,67741 ,114427 ,76380 ,18519 ,117879 ,29066 ,45539 ,154205 ,355668 ,614684 ,96111 ,1265256 ,407330 ,128110 ,846066 ,157321 ,56581 ,584099 ,135982 ,1228052 ,211308 ,11854 ,7675440 ,33513886 ,1923311 ,477638 ,0 ,0 ,27643 ,1037209 ,36979687 ,44655127 ,40293777 ,4361350 ,0 ,4361350 ,0 ,0 ,44655127 
S,기타 서비스,102274 ,20887 ,173407 ,86863 ,83291 ,127100 ,288920 ,103179 ,257105 ,254918 ,595251 ,211447 ,286992 ,230894 ,25403 ,334208 ,65408 ,168018 ,413035 ,1787089 ,2343646 ,371607 ,465078 ,751914 ,238752 ,1339222 ,694930 ,225652 ,929664 ,255954 ,353460 ,397240 ,16047 ,13998855 ,40211895 ,0 ,0 ,0 ,0 ,0 ,611914 ,40823809 ,54822664 ,54193336 ,629328 ,0 ,629328 ,0 ,0 ,54822664 
T,기타,296408 ,11935 ,64205 ,44916 ,53971 ,86337 ,610003 ,30358 ,87686 ,113915 ,180116 ,91340 ,106352 ,78634 ,21396 ,285666 ,71957 ,14890 ,99602 ,232348 ,203653 ,75408 ,200528 ,112066 ,205902 ,131805 ,84435 ,27617 ,23081 ,363718 ,24095 ,33310 ,76358 ,4144011 ,-319847 ,0 ,0 ,0 ,0 ,0 ,11 ,-319836 ,3824175 ,3824174 ,1 ,0 ,1 ,0 ,0 ,3824175 
9590,중간투입계,28113380 ,1987709 ,91496275 ,63979781 ,29543249 ,76263662 ,174547758 ,27219431 ,99731528 ,64318934 ,188297965 ,66495796 ,88246352 ,208342225 ,14515432 ,31127550 ,58661187 ,8957877 ,130085285 ,112267256 ,86463255 ,86380918 ,62395956 ,64695075 ,45100542 ,91515267 ,23046945 ,27887845 ,35907649 ,56476962 ,18071319 ,30146873 ,3824174 ,2196111412 ,804812352 ,250087968 ,409152899 ,71848828 ,6690613 ,1909194 ,716951177 ,2261453031 ,4457564443 ,3833562080 ,603432633 ,20569730 ,624002363 ,0 ,0 ,4457564443 
9610,피용자보수,5243464 ,694732 ,9906095 ,7417072 ,5973894 ,1366271 ,21429173 ,4644470 ,8872812 ,16436533 ,25422542 ,9931479 ,18957911 ,23985502 ,2958342 ,18818145 ,5053111 ,4473375 ,65870465 ,68805333 ,29782807 ,25047779 ,26761141 ,37605414 ,12461734 ,63483523 ,31258538 ,59572563 ,68393110 ,46641138 ,7829860 ,15114717 ,0 ,750213045 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9621,영업잉여,22576442 ,1148712 ,5076670 ,4095066 ,5416981 ,8606221 ,30620004 ,4032787 ,7486610 ,15980609 ,24466676 ,8306589 ,10213809 ,2987149 ,1765980 ,9763067 ,13951271 ,2258664 ,9269532 ,48740778 ,7544026 ,10049543 ,21139053 ,40090569 ,70670408 ,18122042 ,16067489 ,0 ,1686652 ,9626201 ,5344520 ,4361049 ,0 ,441465169 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9622,고정자본소모,4828393 ,355891 ,3818737 ,2140284 ,1109629 ,2750547 ,16098393 ,3204533 ,8177470 ,2709100 ,41342737 ,9981111 ,6551782 ,15454361 ,118325 ,1007431 ,12504534 ,3474773 ,4044917 ,7541473 ,20574817 ,2834890 ,21068853 ,7305129 ,35758611 ,11448949 ,4305131 ,35915574 ,10205584 ,6663180 ,4182436 ,2192106 ,0 ,309669681 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9630,생산세(보조금공제),610044 ,-61826 ,11849443 ,1696934 ,870263 ,21163332 ,2687834 ,577467 ,645782 ,842386 ,2683641 ,958165 ,1040053 ,7208264 ,788419 ,487628 ,2629937 ,56884 ,14346752 ,10292802 ,-3020394 ,7613025 ,4047829 ,7228986 ,27506222 ,1954399 ,1803169 ,2867 ,135652 ,212581 ,4865642 ,2378591 ,0 ,136102773 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9690,부가가치계,33258343 ,2137509 ,30650945 ,15349356 ,13370767 ,33886371 ,70835404 ,12459257 ,25182674 ,35968628 ,93915596 ,29177344 ,36763555 ,49635276 ,5631066 ,30076271 ,34138853 ,10263696 ,93531666 ,135380386 ,54881256 ,45545237 ,73016876 ,92230098 ,146396975 ,95008913 ,53434327 ,95491004 ,80420998 ,63143100 ,22222458 ,24046463 ,0 ,1637450668 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
9790,총투입계,61371723 ,4125218 ,122147220 ,79329137 ,42914016 ,110150033 ,245383162 ,39678688 ,124914202 ,100287562 ,282213561 ,95673140 ,125009907 ,257977501 ,20146498 ,61203821 ,92800040 ,19221573 ,223616951 ,247647642 ,141344511 ,131926155 ,135412832 ,156925173 ,191497517 ,186524180 ,76481272 ,123378849 ,116328647 ,119620062 ,40293777 ,54193336 ,3824174 ,3833562080 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
