cons,old,new,,,,,,
ARG_GFCF,232,11,,,,,,
ARG_INVNT,233,11,,,,,,
ARG_DPABR,234,12,,,,,,
BRA_HFCE,235,10,,,,,,
BRA_NPISH,236,10,,,,,,
BRA_GGFC,237,10,,,,,,
BRA_GFCF,238,11,,,,,,
BRA_INVNT,239,11,,,,,,
BRA_DPABR,240,12,,,,,,
BRN_HFCE,241,10,,,,,,
BRN_NPISH,242,10,,,,,,
BRN_GGFC,243,10,,,,,,
BRN_GFCF,244,11,,,,,,
BRN_INVNT,245,11,,,,,,
BRN_DPABR,246,12,,,,,,
BGR_HFCE,247,10,,,,,,
BGR_NPISH,248,10,,,,,,
BGR_GGFC,249,10,,,,,,
BGR_GFCF,250,11,,,,,,
BGR_INVNT,251,11,,,,,,
BGR_DPABR,252,12,,,,,,
KHM_HFCE,253,10,,,,,,
KHM_NPISH,254,10,,,,,,
KHM_GGFC,255,10,,,,,,
KHM_GFCF,256,11,,,,,,
KHM_INVNT,257,11,,,,,,
KHM_DPABR,258,12,,,,,,
CHN_HFCE,259,4,,,,,,
CHN_NPISH,260,4,,,,,,
CHN_GGFC,261,4,,,,,,
CHN_GFCF,262,5,,,,,,
CHN_INVNT,263,5,,,,,,
CHN_DPABR,264,6,,,,,,
HRV_HFCE,265,10,,,,,,
HRV_NPISH,266,10,,,,,,
HRV_GGFC,267,10,,,,,,
HRV_GFCF,268,11,,,,,,
HRV_INVNT,269,11,,,,,,
HRV_DPABR,270,12,,,,,,
CYP_HFCE,271,10,,,,,,
CYP_NPISH,272,10,,,,,,
CYP_GGFC,273,10,,,,,,
CYP_GFCF,274,11,,,,,,
CYP_INVNT,275,11,,,,,,
CYP_DPABR,276,12,,,,,,
IND_HFCE,277,10,,,,,,
IND_NPISH,278,10,,,,,,
IND_GGFC,279,10,,,,,,
IND_GFCF,280,11,,,,,,
IND_INVNT,281,11,,,,,,
IND_DPABR,282,12,,,,,,
IDN_HFCE,283,10,,,,,,
IDN_NPISH,284,10,,,,,,
IDN_GGFC,285,10,,,,,,
IDN_GFCF,286,11,,,,,,
IDN_INVNT,287,11,,,,,,
IDN_DPABR,288,12,,,,,,
HKG_HFCE,289,10,,,,,,
HKG_NPISH,290,10,,,,,,
HKG_GGFC,291,10,,,,,,
HKG_GFCF,292,11,,,,,,
HKG_INVNT,293,11,,,,,,
HKG_DPABR,294,12,,,,,,
KAZ_HFCE,295,10,,,,,,
KAZ_NPISH,296,10,,,,,,
KAZ_GGFC,297,10,,,,,,
KAZ_GFCF,298,11,,,,,,
KAZ_INVNT,299,11,,,,,,
KAZ_DPABR,300,12,,,,,,
LAO_HFCE,301,10,,,,,,
LAO_NPISH,302,10,,,,,,
LAO_GGFC,303,10,,,,,,
LAO_GFCF,304,11,,,,,,
LAO_INVNT,305,11,,,,,,
LAO_DPABR,306,12,,,,,,
MYS_HFCE,307,10,,,,,,
MYS_NPISH,308,10,,,,,,
MYS_GGFC,309,10,,,,,,
MYS_GFCF,310,11,,,,,,
MYS_INVNT,311,11,,,,,,
MYS_DPABR,312,12,,,,,,
MLT_HFCE,313,10,,,,,,
MLT_NPISH,314,10,,,,,,
MLT_GGFC,315,10,,,,,,
MLT_GFCF,316,11,,,,,,
MLT_INVNT,317,11,,,,,,
MLT_DPABR,318,12,,,,,,
MAR_HFCE,319,10,,,,,,
MAR_NPISH,320,10,,,,,,
MAR_GGFC,321,10,,,,,,
MAR_GFCF,322,11,,,,,,
MAR_INVNT,323,11,,,,,,
MAR_DPABR,324,12,,,,,,
MMR_HFCE,325,10,,,,,,
MMR_NPISH,326,10,,,,,,
MMR_GGFC,327,10,,,,,,
MMR_GFCF,328,11,,,,,,
MMR_INVNT,329,11,,,,,,
MMR_DPABR,330,12,,,,,,
PER_HFCE,331,10,,,,,,
PER_NPISH,332,10,,,,,,
PER_GGFC,333,10,,,,,,
PER_GFCF,334,11,,,,,,
PER_INVNT,335,11,,,,,,
PER_DPABR,336,12,,,,,,
PHL_HFCE,337,10,,,,,,
PHL_NPISH,338,10,,,,,,
PHL_GGFC,339,10,,,,,,
PHL_GFCF,340,11,,,,,,
PHL_INVNT,341,11,,,,,,
PHL_DPABR,342,12,,,,,,
ROU_HFCE,343,10,,,,,,
ROU_NPISH,344,10,,,,,,
ROU_GGFC,345,10,,,,,,
ROU_GFCF,346,11,,,,,,
ROU_INVNT,347,11,,,,,,
ROU_DPABR,348,12,,,,,,
RUS_HFCE,349,10,,,,,,
RUS_NPISH,350,10,,,,,,
RUS_GGFC,351,10,,,,,,
RUS_GFCF,352,11,,,,,,
RUS_INVNT,353,11,,,,,,
RUS_DPABR,354,12,,,,,,
SAU_HFCE,355,10,,,,,,
SAU_NPISH,356,10,,,,,,
SAU_GGFC,357,10,,,,,,
SAU_GFCF,358,11,,,,,,
SAU_INVNT,359,11,,,,,,
SAU_DPABR,360,12,,,,,,
SGP_HFCE,361,10,,,,,,
SGP_NPISH,362,10,,,,,,
SGP_GGFC,363,10,,,,,,
SGP_GFCF,364,11,,,,,,
SGP_INVNT,365,11,,,,,,
SGP_DPABR,366,12,,,,,,
ZAF_HFCE,367,10,,,,,,
ZAF_NPISH,368,10,,,,,,
ZAF_GGFC,369,10,,,,,,
ZAF_GFCF,370,11,,,,,,
ZAF_INVNT,371,11,,,,,,
ZAF_DPABR,372,12,,,,,,
TWN_HFCE,373,10,,,,,,
TWN_NPISH,374,10,,,,,,
TWN_GGFC,375,10,,,,,,
TWN_GFCF,376,11,,,,,,
TWN_INVNT,377,11,,,,,,
TWN_DPABR,378,12,,,,,,
THA_HFCE,379,10,,,,,,
THA_NPISH,380,10,,,,,,
THA_GGFC,381,10,,,,,,
THA_GFCF,382,11,,,,,,
THA_INVNT,383,11,,,,,,
THA_DPABR,384,12,,,,,,
TUN_HFCE,385,10,,,,,,
TUN_NPISH,386,10,,,,,,
TUN_GGFC,387,10,,,,,,
TUN_GFCF,388,11,,,,,,
TUN_INVNT,389,11,,,,,,
TUN_DPABR,390,12,,,,,,
VNM_HFCE,391,10,,,,,,
VNM_NPISH,392,10,,,,,,
VNM_GGFC,393,10,,,,,,
VNM_GFCF,394,11,,,,,,
VNM_INVNT,395,11,,,,,,
VNM_DPABR,396,12,,,,,,
ROW_HFCE,397,10,,,,,,
ROW_NPISH,398,10,,,,,,
ROW_GGFC,399,10,,,,,,
ROW_GFCF,400,11,,,,,,
ROW_INVNT,401,11,,,,,,
ROW_DPABR,402,12,,,,,,
