code,name,A,B,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,9090,9111,9112,9121,9122,9131,9132,9140,9190,9290
C08,금속가공제품,"59,185","55,075","1,664,922","219,452","302,246","1,151,854","1,649,924","451,966","1,113,278","13,214,041","2,954,092","3,428,793","12,376,266","19,060,046","987,598","1,248,354","500,777","133,223","16,512,004","506,334","659,162","642,553","133,091","159,074","59,326","582,339","296,635",276868.2528,"236,280","142,634","208,000","866,255","81,851,648","703,090",0,"3,552,411","1,846,430","443,288",0,11890695,"18,435,914","100,287,562"
C09,"컴퓨터, 전자 및 광학기기",98810.67524,6190.042737,118373.9647,80027.0035,"75,325",308202.5546,"402,772","65,594","305,755","495,859","46,532,727","4,037,736","2,789,241","4,206,906","97,738","1,516,621","494,489","169,532","1,269,259","1,327,477","603,180","415,575","2,000,477","648,283",349276.1951,"5,066,352","388,463","384,448","860,885","1,407,248","272,166","1,736,717","78,531,707","16,728,095",0,"9,601,519","2,078,305","1,495,715",0,173778220,"203,681,854","282,213,561"
C10,전기장비,106911.1639,18084.58735,31788.39078,75073.08623,58541.9716,148741.9436,"231,774","134,040","239,463","602,829","4,665,960","13,248,930","3,782,114","9,673,744","166,011","985,810","1,148,031",183292.6001,"9,111,044","652,548","1,003,389","737,799","1,377,952",274171.0371,"336,742","1,773,718","484,725",298293.3143,"388,106","215,413","267,731","1,253,541","53,676,312","3,937,493",0,"7,869,558","159,122","467,069",0,29563586,"41,996,828","95,673,140"
C11,기계 및 장비,"212,676","102,745","153,150","47,170","66,139","896,998","2,762,560","345,280","951,612","2,676,647","1,339,206","1,455,775","16,917,664","6,734,550","75,040","1,500,187","183,099","511,261","4,578,909","160,436","229,070","78,917","59,314","49,995","119,253","769,916","113,606","148,578","227,107","83,978","56,467","182,607","43,789,914","1,073,280",0,"31,579,151","340,014","322,287",0,47905261,"81,219,993","125,009,907"
C12,운송장비,"263,964",63436.7079,23233.52883,"22,756",43755.11787,90131.11478,"212,411","152,759","113,525","182,320",19401.34748,"60,325","790,954","64,090,532","14,037","916,896",21578.95358,139859.7441,84092.34442,"368,429","5,678,192",32134.55556,"93,027",41372.42178,19984.97271,"471,837","228,652","650,793","97,533",138481.2729,89113.58392,"4,599,866","79,815,382","23,870,197",0,"16,117,336","5,769,067","2,745,020",0,129660499,"178,162,119","257,977,501"
C13,기타 제조업 제품,12451.74215,1506.217551,"218,048","105,753","22,069",7164.619635,"23,424",6718.456372,"16,237","31,696","42,258","17,346","31,603","49,818","528,177","282,950",6032.800364,"34,775","1,656,896","442,256","163,203","817,558","306,679","354,992","552,571","984,485","333,575","341,210","1,929,844","292,653","520,564","341,783","10,476,297","3,487,637",0,"2,052,940","233,593","202,951","937,870",2755210,"9,670,201","20,146,498"
C14,제조임가공 및 산업용 장비 수리,190001.1117,105126.3926,"2,959,536","9,191,548","1,417,913",244729.9788,"4,927,151","823,310","2,423,969","3,859,245","6,514,013","2,384,593","4,988,679","8,414,598","950,594","4,608,599",227248.6493,224226.7114,537583.4549,"248,984",119067.0986,29151.02,"218,481","89,917",32299.9215,"258,243","328,977","152,548",263842.2395,"1,559,396",68210.47588,30260.59256,"58,392,043","23,509",0,0,0,0,0,2788269,"2,811,778","61,203,821"
D,"전력, 가스 및 증기",753331.1326,97376.83195,1184099.043,1091061.644,1437048.27,"1,872,388","6,114,654",1666117.363,"6,869,917",1902376.834,"3,909,983",888657.0877,1249560.799,"1,845,650",229204.4384,902785.6966,12480819.62,991086.28,815936.1373,3672536.687,1915453.502,2107206.313,1334832.571,1107470.908,1644815.001,"6,775,464",411558.5248,"1,224,771",3760403.68,2809439.43,1118764.53,815891.1713,"75,000,660","17,682,715",0,0,0,0,0,116665,"17,799,380","92,800,040"
E,"수도, 폐기물처리 및 재활용서비스",78189.64088,12029.68595,370363.7429,229151.5698,470593.6908,78194.78,1664793.852,327702.718,2767674.33,407715.7004,128779.5204,100849.6194,528368.4116,"172,257",26652.88488,99462.10562,101897.9989,591227.198,120860.3517,96253.28399,282152.304,1306232.271,196151.9612,251112.5521,651900.7116,522532.8706,200170.3138,369204.6958,556941.1831,1050750.312,190759.9012,323231.9244,"14,274,159","3,398,658",1165711,0,0,0,0,383045,"4,947,414","19,221,573"
F,건설,75322.99221,13979.25979,63770.98465,26117.4413,26276.26362,50216.98831,178746.3656,31826.71706,144601.6443,95238.65514,114819.936,115548.987,84584.28586,107940.3605,12228.84628,33018.22811,331763.0811,35072.17813,64607.47363,257404.7066,175854.0874,199933.1595,263440.0792,80118.43736,7275973.362,470521.3028,94242.94333,"571,918",170121.0608,75008.47215,91437.51728,66777.22288,"11,398,431",0,0,165908820,47566824,-1422185,0,165061,212218520,"223,616,951"
G,도소매 및 상품중개서비스,2470839.98,55602.60343,"8,819,920","6,234,436","2,009,455",870041.5874,"8,179,020","1,205,709","2,499,904","3,038,329","8,334,337","3,683,362","4,449,412","11,620,687","1,588,418",1916202.784,571275.2226,342197.3615,7366203.787,10100776.68,2421768.851,11822522.43,8210924.337,845747.9534,445025.895,"3,681,278",1113260.94,1396270.787,2066361.698,9079296.052,1539840.54,3269157.453,"131,247,582",78957747,0,11056000,707083,1227459,318400,24133371,116400060,"247,647,642"
H,운송서비스,"627,255",528872.7055,"4,208,413","2,127,203","1,887,790","938,317","7,435,285","4,189,768","3,670,022","2,247,481","4,326,815","1,986,352","2,978,369","4,008,580","589,333","996,318","256,448","1,112,558","1,879,364","15,891,206","8,854,704","791,579","2,153,014","706,358","447,317","3,297,794","1,311,545","2,024,428","417,806","465,645","368,089","650,315","83,374,342","19,621,345",0,240833,63687,81459,7879,37954966,"57,970,169","141,344,511"
I,음식점 및 숙박서비스,"483,340",76749.37831,"420,119","515,118","430,497","314,872","1,429,396","330,556","785,002","873,628","1,025,411","457,232","893,283","869,440","168,836","1,440,125","235,073","307,513","767,528","8,876,177","1,487,892","921,956","2,053,561","3,460,059","1,019,993","6,230,426","2,157,034","1,856,897","6,389,943","3,244,295","1,359,040","2,869,751","53,750,741","71,133,194",0,0,0,0,0,7042220,"78,175,414","131,926,155"
J,정보통신 및 방송 서비스,"184,746",19583.08571,"227,705","188,576","230,836","401,122","654,131",209449.0727,"437,144","460,579","1,217,876","351,321","402,764","491,560",90105.91563,"456,907","126,062","320,432","434,661","10,038,321","1,626,297","923,839","16,333,183","8,338,414","723,660","15,957,700","1,758,950","2,387,731","3,310,040","518,177","1,486,875","966,088","71,274,835","31,045,054",0,"27,315,764","232,113","17,467",0,5527599,"64,137,997","135,412,832"
K,금융 및 보험 서비스,"863,585","162,563","795,945","917,147","631,409","208,643","2,317,846","479,133","1,496,106","1,344,315","3,268,451","925,327","2,010,970","2,740,117","227,278","601,223","1,096,273","482,099","4,003,273","6,725,383","2,031,216","1,841,014","1,797,171","23,477,208","15,482,614","3,738,367","287,263","3,600,467","1,554,610","2,371,497","470,081","1,286,704","89,235,298","64,830,865",0,0,0,0,0,2859010,"67,689,875","156,925,173"
L,부동산서비스,50206.20374,6662.866066,"237,239","388,379","160,750","147,759","352,810",75682.98044,"366,703","260,524","226,042","253,946","140,277","311,638","122,579",476188.5655,145408.1322,339606.8008,"591,687","13,056,242","1,131,324",6142070.237,"1,531,798","5,923,311","5,246,341","4,940,252","1,056,883","563,040",2037692.545,"2,605,953","626,139","1,338,599","50,853,734","114,188,583",0,26009160,16275,0,0,429765,"140,643,783","191,497,517"
M,"전문, 과학 및 기술 서비스","735,275",172533.5972,"3,226,846","1,222,862","813,140","2,502,417","9,294,789","1,188,325","3,874,153","2,150,993","5,210,379","2,707,357","2,301,280","5,660,651","646,890","1,530,049","1,388,168","763,677","16,524,672","10,738,073","2,129,716","1,711,258","6,743,989","3,883,264","945,146","7,861,648","2,221,768","1,623,567","2,374,680","744,971","844,179","614,778","104,351,495","3,132,497",0,"53,459,554",9679165,0,0,15901469,"82,172,685","186,524,180"
N,사업지원서비스,"118,182",125243.8931,"353,130","316,585","315,738","380,353","861,550","214,396","1,056,980","684,111","1,300,140","396,747","348,776","3,271,247","103,736","1,783,747","743,933","424,245","6,210,817","5,709,808","4,734,432","878,460","3,597,823","6,134,456","6,962,471","5,777,706","3,502,353","2,992,737","1,897,593","984,184","1,579,025","386,789","64,147,495","3,549,269",0,0,0,0,0,8784508,"12,333,777","76,481,272"
O,"공공행정, 국방 및 사회보장",36879.63926,8194.049774,21874.24512,29142.35621,37859.5563,21522.21076,383230.0687,19587.39915,29472.0398,87501.59779,115971.9568,57002.95594,80202.33673,35039.2765,13931.62107,139294.3557,40792.27903,3016.264291,47683.47059,180113.7166,"177,989",21928.34459,145261.9715,96375.99058,141237.8152,57084.45782,54384.54741,0,3983.501277,223869.0156,11738.34737,19302.40858,"2,341,467","1,165,776",119834041,0,0,0,0,37565,"121,037,382","123,378,849"
P,교육서비스,"3,150",735.3077292,24457.35116,7812.988891,15579.23749,26313.68673,"94,755",17347.99023,"66,100",73008.84438,"47,916",48412.52168,59697.09558,"43,293",2766.381415,"127,544",17746.26989,10027.34859,44486.93627,"537,584","45,994","48,990","83,032","261,272",63756.60073,"227,126","38,825","5,027","50,270","11,041","14,964","57,173","2,176,206","53,694,239",60287050,0,0,0,0,171152,"114,152,441","116,328,647"
Q,보건 및 사회복지 서비스,"123,270",11634.0001,101387.2787,69190.61823,70330.9705,43724.81636,240597.9392,52576.46167,134722.7595,189660.824,162386.8596,111162.6218,201603.1863,273753.0819,32348.8512,156986.2754,55388.53816,85371.43841,368138.8215,1092074.064,190597.0238,401282.879,257543.7158,523275.0321,134581.466,593137.9261,200994.141,73223.41326,296408.2604,623260.3738,146360.3655,123482.082,"7,140,456","45,231,438",66877855,0,0,0,0,370313,"112,479,606","119,620,062"
R,"예술, 스포츠 및 여가 관련 서비스","57,797",19255.40012,"61,610","66,898","61,215","54,700","194,081","41,111","163,036","147,443","81,535","67,503","113,409","74,918",18451.22188,"117,290","28,822","45,239","153,419","342,561","611,814","95,055","1,085,118","397,513","126,975","821,976","154,104","48,306","583,424","134,470","1,183,114","203,438","7,355,599","29,512,049",1923311,463097,0,0,2512,1037209,"32,938,178","40,293,777"
S,기타 서비스,101390.7119,20709.8949,170743.3465,85883.16977,81467.26434,"120,023","274,517",102314.7033,"253,421",251382.4086,"546,624",201995.2604,"276,911","202,787",24985.91435,331563.1247,62585.36809,166989.4761,409051.4823,"1,695,263","2,337,858",366561.533,"451,069","743,047",228345.6292,"1,311,887","684,272","221,825",926465.2461,254700.4499,350078.4351,381615.9638,"13,638,333","39,943,089",0,0,0,0,0,611914,"40,555,003","54,193,336"
9590,중간투입계,"26,232,735","1,959,527","75,777,002","41,329,662","23,412,491","14,894,183","118,735,196","24,051,848","58,208,193","57,809,356","111,848,732","52,418,393","73,101,348","178,798,287","12,264,320","29,478,709","24,714,972","8,661,597","120,024,031","105,548,425","58,352,314","79,425,117","53,903,281","60,585,934","44,128,802","84,115,215","20,705,619","25,639,960","34,272,384","49,046,055","17,063,982","28,537,071","1,715,044,741","720,312,016",250087968,"353,250,206","68,653,837","6,191,880","1,371,977",714825281,"2,114,693,165","3,829,737,906"
