bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand
Other manufactured products,0,0,6,225,2,0,7,0,0,2,6,1,1,23,484,16,1,7,132,75,13,62,18,25,3,40,32,18,277,45,148,16,0,1685,3126,0,659,33,95,351,96,4360,6045
Manufacturing services and repair services of industrial equipment,0,0,6,5817,7,2,150,2,14,54,1532,543,36,51,120,0,0,0,0,42,0,0,4,6,0,15,12,7,0,0,2,0,0,8422,0,0,0,0,0,0,0,0,8422
"Electricity, gas, and steam supply",0,0,0,0,0,3,4,0,1,0,8,1,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,32,56,0,0,0,0,0,0,56,88
"Water supply, sewage and waste treatment and disposal services",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,14,0,0,0,0,0,0,14,16
Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,37,0,0,0,14,0,0,0,14,51
Wholesale and retail trade and commodity brokerage services,6,0,64,145,27,264,393,17,230,51,707,122,179,449,14,4,45,0,23,71,24,15,9,1,0,9,1,3,3,18,1,4,0,2899,0,0,0,0,0,0,0,0,2899
Transportation,158,4,28,15,5,9,80,18,34,31,73,17,35,40,3,13,1,18,6,499,13223,7,24,39,4,77,57,135,11,8,8,9,0,14689,5339,0,0,0,0,0,0,5339,20028
Food services and accommodation,19,2,12,11,11,9,42,9,22,19,27,11,25,28,3,22,6,7,16,196,193,29,92,104,20,194,66,106,126,44,45,87,0,1603,9983,0,0,0,0,0,0,9983,11586
Communications and broadcasting,5,0,4,4,6,10,16,2,16,7,45,6,10,22,1,10,4,6,11,113,50,4,1814,299,7,355,27,120,68,13,61,14,1,3131,1270,0,656,9,2,0,0,1937,5068
Finance and insurance,12,2,17,11,10,7,38,9,20,22,37,18,28,43,4,11,11,7,82,123,33,25,29,921,336,52,10,58,23,45,15,21,0,2080,602,0,0,0,0,0,0,602,2682
Real estate services,0,0,2,4,1,11,34,0,2,1,22,6,6,64,1,0,0,0,1,322,14,34,20,18,3,98,36,310,1,2,7,1,0,1021,504,0,0,0,0,0,0,504,1525
"Professional, scientific, and technical services",17,2,216,109,64,245,1051,55,540,177,2152,412,438,1782,35,10,71,20,970,1529,279,134,1639,842,69,1771,294,176,98,43,141,38,0,15419,5,0,4831,225,0,0,0,5061,20480
Business support services,16,3,44,48,48,143,224,17,263,77,377,99,80,742,11,84,71,81,105,1656,2333,104,767,1078,311,944,1147,121,109,77,222,24,0,11426,295,0,0,0,0,0,0,295,11721
"Public administration, defense, and social security services",82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,517
Education services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1985,0,0,0,0,0,0,1985,1988
Health and social care services,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5,655,0,0,0,0,0,0,655,660
"Art, sports, and leisure services",0,0,0,0,0,0,3,0,1,1,1,0,1,1,0,1,0,0,1,11,3,1,155,9,1,23,3,7,2,2,39,7,0,273,3419,0,12,0,0,21,0,3452,3725
Other services,3,0,2,1,2,7,14,1,4,3,42,8,9,24,0,4,2,1,4,79,6,4,12,8,9,24,10,3,3,2,3,13,0,307,229,0,0,0,0,0,0,229,536
Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total intermediate input,1606,24,13434,19357,5239,52449,47704,2705,35486,5562,65337,12030,12943,25251,1924,1411,29011,255,8598,5739,24026,5945,7256,3514,831,6325,1999,1920,1394,6350,863,1374,0,407863,72218,0,47777,2731,425,458,1817,125426,533289
